label,title,content,text
0,Bad re-edit of a fun film,For some reason when it was released in the US this year they decided to edit out most of the comedic scenes and most anything not directly involving Jackie Chan from the earlier release. They also almost totally replaced the soundtrack with music that for the most part didn't match the scene. I like Jackie Chan films but this release was very disapointing. The only up side was that the voices were re-dubbed by I think by the original actors. The action is still good but the older versions of the film are b,Bad re-edit of a fun film For some reason when it was released in the US this year they decided to edit out most of the comedic scenes and most anything not directly involving Jackie Chan from the earlier release. They also almost totally replaced the soundtrack with music that for the most part didn't match the scene. I like Jackie Chan films but this release was very disapointing. The only up side was that the voices were re-dubbed by I think by the original actors. The action is still good but the older versions of the film are b
1,A greate book for beginners,"This book has a lot of general information about Tanganyikan cichlids and the way to keep them in a home aquarium. The pictures in the book have a special glossy cover, which makes them look very good. It's an excellent 'first book', but someone interested in information about specific cichlid should search for them in another book.","A greate book for beginners This book has a lot of general information about Tanganyikan cichlids and the way to keep them in a home aquarium. The pictures in the book have a special glossy cover, which makes them look very good. It's an excellent 'first book', but someone interested in information about specific cichlid should search for them in another book."
1,Sennheiser Headphones,The unit works well and has a nice long cord and was a good value. The ear pads are a bit small.,Sennheiser Headphones The unit works well and has a nice long cord and was a good value. The ear pads are a bit small.
0,Worst DVD Player I have ever owned!,"This DVD Player looked good online and the reviews at the time were not that bad so I purchased it; however, I can tell you that this is the worst item I have purchased online! This system does not allow you to fast forward/rewind; it only lets you jump from scene to scene. It was manufactured very cheaply; its remote control is a joke. I am so disappointed!","Worst DVD Player I have ever owned! This DVD Player looked good online and the reviews at the time were not that bad so I purchased it; however, I can tell you that this is the worst item I have purchased online! This system does not allow you to fast forward/rewind; it only lets you jump from scene to scene. It was manufactured very cheaply; its remote control is a joke. I am so disappointed!"
1,Marching to the beat of a different drum,"I posted the book's table of contents - see ""Customer images"" link above - and would like to point out Chapter 4, which discusses ""relational data mining"", also recommending the closely related Chapters 3 and 7. (But not Chapter 2; the authors' mastery of time-series methods - if these do belong to data mining - is not obvious).I am skeptical about applicability of the proposed method, and would consult other books on neural nets or fuzzy logic - or Bayesian belief networks, for example, forgotten here - bu","Marching to the beat of a different drum I posted the book's table of contents - see ""Customer images"" link above - and would like to point out Chapter 4, which discusses ""relational data mining"", also recommending the closely related Chapters 3 and 7. (But not Chapter 2; the authors' mastery of time-series methods - if these do belong to data mining - is not obvious).I am skeptical about applicability of the proposed method, and would consult other books on neural nets or fuzzy logic - or Bayesian belief networks, for example, forgotten here - bu"
0,not what I was hoping for,I had sampled this at a store once and absolutely loved it. But the bottle I have smells acidic and chemically and the sent hardly last. Wish I had returned it. :(Too bad I normally love their stuff. The seller was prompt and cool and all that.,not what I was hoping for I had sampled this at a store once and absolutely loved it. But the bottle I have smells acidic and chemically and the sent hardly last. Wish I had returned it. :(Too bad I normally love their stuff. The seller was prompt and cool and all that.
1,Absolutely Horrifying,"I first read this book at age 10 and could hardly sleep for 3 days. I have re-read it many times since, and I am glad to report that it is still as frightening to the adult as it was for the child. This book teems with terrifying images and situations which I won't describe so as not to spoil the suspense. This was what scared me as a child. What scares the adult on top of this is the emotional collapse of Jack Torrance and his descent into madness. The relationships in the family triad are brilliantly depi","Absolutely Horrifying I first read this book at age 10 and could hardly sleep for 3 days. I have re-read it many times since, and I am glad to report that it is still as frightening to the adult as it was for the child. This book teems with terrifying images and situations which I won't describe so as not to spoil the suspense. This was what scared me as a child. What scares the adult on top of this is the emotional collapse of Jack Torrance and his descent into madness. The relationships in the family triad are brilliantly depi"
1,Great Movie,"A must see, great story and great ending, watch this movie!!!! Perfect for a slow Sunday afternoon or a could day when you are snowed in.","Great Movie A must see, great story and great ending, watch this movie!!!! Perfect for a slow Sunday afternoon or a could day when you are snowed in."
1,Great Value,This book was very heart touching and blew every thing I thought I knew about the Holocaust out the water. Great read for mature audience.,Great Value This book was very heart touching and blew every thing I thought I knew about the Holocaust out the water. Great read for mature audience.
0,"This Cd, has absolutely zero point on this earth....","If you are a real house style raver, I suggest you consider buying another CD. I was recommended this CD, and I was disappointed when I heard it....The beats are not innovative at all, and rappers with the same style as Doc Ock, are a dime a dozen. Heed my warning and stay away from this cd at all costs.....","This Cd, has absolutely zero point on this earth.... If you are a real house style raver, I suggest you consider buying another CD. I was recommended this CD, and I was disappointed when I heard it....The beats are not innovative at all, and rappers with the same style as Doc Ock, are a dime a dozen. Heed my warning and stay away from this cd at all costs....."
0,Not the OEM Unit that was listed!,The battery I received is not from APC as the picture and the description suggested and I was not able to return it.,Not the OEM Unit that was listed! The battery I received is not from APC as the picture and the description suggested and I was not able to return it.
1,Good LIve Curtis,"This album is pretty good. Its very energetic and the mix is good. Some excellent effects on ""if there's hell below"" This is the only Curtis live album I have and I like it alot. Some of the Keyboards sound a little lame, but dont let that stop you from enjoying this album. Excellent rythym section","Good LIve Curtis This album is pretty good. Its very energetic and the mix is good. Some excellent effects on ""if there's hell below"" This is the only Curtis live album I have and I like it alot. Some of the Keyboards sound a little lame, but dont let that stop you from enjoying this album. Excellent rythym section"
1,Eats Wood!,"I looked at all the planers. I was going to buy a planer with AMPS being my first concern. With a 3.4 amp motor this planer did not fail once. I put this machine to work on rough cut white oak with the blades full bore, and I got tired before this Hitachi planer. My only wish is the shoe as in all planers in this class was 1 inch longer. With a longer shoe or base this would get 5 stars. At this price you cannot go wrong. Blades are a snap to change, and sharpen. This is a nice machine.","Eats Wood! I looked at all the planers. I was going to buy a planer with AMPS being my first concern. With a 3.4 amp motor this planer did not fail once. I put this machine to work on rough cut white oak with the blades full bore, and I got tired before this Hitachi planer. My only wish is the shoe as in all planers in this class was 1 inch longer. With a longer shoe or base this would get 5 stars. At this price you cannot go wrong. Blades are a snap to change, and sharpen. This is a nice machine."
1,yummy choc. milk,Gave this as a gift and she absolutely loved it. Said it was the best choc drink she ever had. Great gift item.,yummy choc. milk Gave this as a gift and she absolutely loved it. Said it was the best choc drink she ever had. Great gift item.
1,Good book - recommended for everyone who manages testing,"I very much liked the book. Rex Black has written about the process and management side of testing. This makes it an ideal complement to Cem Kaner's ""Testing Computer Software"" (which deals with testing technique) and Boris Beizer's ""Software Testing Techniques"" (which deals with the fundamentals).I found the templates useful, mostly because I never worked my way around Excel to get those metrics in an automated manner. But don't expect them to be replacement for commercial test management tools.This should","Good book - recommended for everyone who manages testing I very much liked the book. Rex Black has written about the process and management side of testing. This makes it an ideal complement to Cem Kaner's ""Testing Computer Software"" (which deals with testing technique) and Boris Beizer's ""Software Testing Techniques"" (which deals with the fundamentals).I found the templates useful, mostly because I never worked my way around Excel to get those metrics in an automated manner. But don't expect them to be replacement for commercial test management tools.This should"
1,MY FAV BOOK,"This is by far my fav book. It's very Sex in the City set in the 50's. It's very stylized and true to it's era. Plus if you like reading about show business, than this book will be fascinating. It's a easy fluff read, so don't expect it to be A Tale of Two Cities or anything like that!!! It's fun, just look at the cover...It's pink!","MY FAV BOOK This is by far my fav book. It's very Sex in the City set in the 50's. It's very stylized and true to it's era. Plus if you like reading about show business, than this book will be fascinating. It's a easy fluff read, so don't expect it to be A Tale of Two Cities or anything like that!!! It's fun, just look at the cover...It's pink!"
0,"Not impressed, but I still passed","I wanted to post this review, because I must have misunderstood the purpose of these CLEP books. As was indiciated to me today by the testing center, these books are designed to refresh the memories of people who have a good knowledge base of the subject. For individuals such as myself, who haven't taken American History since the early 90's, it didn't prepare me like I expected it to.I studied this book for three months, I had a 95% on each of the practice exams, and I barely passed this CLEP. Passing is p","Not impressed, but I still passed I wanted to post this review, because I must have misunderstood the purpose of these CLEP books. As was indiciated to me today by the testing center, these books are designed to refresh the memories of people who have a good knowledge base of the subject. For individuals such as myself, who haven't taken American History since the early 90's, it didn't prepare me like I expected it to.I studied this book for three months, I had a 95% on each of the practice exams, and I barely passed this CLEP. Passing is p"
0,untitled,"I don't want to be harsh. I'm fairly certain that many people put a lot of effort into this book. I just didn't think that it was really a worth the effort though.Essentially the only chapter I found useful was chapter 5. Of course, one chapter doesn't make the book worthwhile though.","untitled I don't want to be harsh. I'm fairly certain that many people put a lot of effort into this book. I just didn't think that it was really a worth the effort though.Essentially the only chapter I found useful was chapter 5. Of course, one chapter doesn't make the book worthwhile though."
1,Beautiful singing!,"I enjoyed this group's previous CD very much, but ""Hoping It Might Be So"" is even better -- the selection of pieces is unusual and the performances are exquisite. ""The Oxen"" is my favorite at the moment, although I also love ""Quem Pastores"" by James Bassi (Why haven't I heard of this composer before? Where have I been?). The choir has a gorgeous sound, and the harp accompaniments are simply lovely. I listen to Christmas music year-round, and I think this CD is going to get a lot of play! I highly recommend ","Beautiful singing! I enjoyed this group's previous CD very much, but ""Hoping It Might Be So"" is even better -- the selection of pieces is unusual and the performances are exquisite. ""The Oxen"" is my favorite at the moment, although I also love ""Quem Pastores"" by James Bassi (Why haven't I heard of this composer before? Where have I been?). The choir has a gorgeous sound, and the harp accompaniments are simply lovely. I listen to Christmas music year-round, and I think this CD is going to get a lot of play! I highly recommend "
0,Cheap copy,"The disk arrived in a plastic box used for CD's-- not a regular package. The installation directons, printed on the disk itself, state that auto-run will begin when the disk is inserted in the disk drive. Nothing happened and I had to use My Computer and the Setup.exe file to start the installation. About halfway thru the process, it stopped and would not restart. Our son (a computer guy) said the disk is a standard cheap copy type that we can purchase anywhere-- not the usual higher quality that Broderbund","Cheap copy The disk arrived in a plastic box used for CD's-- not a regular package. The installation directons, printed on the disk itself, state that auto-run will begin when the disk is inserted in the disk drive. Nothing happened and I had to use My Computer and the Setup.exe file to start the installation. About halfway thru the process, it stopped and would not restart. Our son (a computer guy) said the disk is a standard cheap copy type that we can purchase anywhere-- not the usual higher quality that Broderbund"
0,Disappointing considering all the high ratings,Gruen writes like a woman who is trying to sound like a man. Her word choice and syntax did not ring true and unfortunately the method cost her some in credibility. The book was nothing to write home about and certainly did not rank with anything by Erik Larson. The high ratings from other reviewers are puzzling. The reviews about the movie seem to more accurately reflect the quality of the book.,Disappointing considering all the high ratings Gruen writes like a woman who is trying to sound like a man. Her word choice and syntax did not ring true and unfortunately the method cost her some in credibility. The book was nothing to write home about and certainly did not rank with anything by Erik Larson. The high ratings from other reviewers are puzzling. The reviews about the movie seem to more accurately reflect the quality of the book.
0,Try any other GPS software,"Currently I have over 20 hours in to trying to understand and use this program. I have paid my computer support person over $125. To date I have used the program and found that the route was there but not the map, the map and not the route. I can't find any voice for my Windows mobile device. You are never sure if you are on the right road. I'm so frustrated with this program! I really feel that I have tried to give it a fair chance.","Try any other GPS software Currently I have over 20 hours in to trying to understand and use this program. I have paid my computer support person over $125. To date I have used the program and found that the route was there but not the map, the map and not the route. I can't find any voice for my Windows mobile device. You are never sure if you are on the right road. I'm so frustrated with this program! I really feel that I have tried to give it a fair chance."
1,Step up to this plate,"For fans of dub as well as jungle and drum & bass, dubstep is a terrific combination of these genres. And for those new to this type of music, The Roots of Dubstep provides a most fitting introduction as it features cuts by many of the better known musicians making dubstep. Personally, I find this kind of music perfect not only for dancing but also for working behind my computer as it is completely energy inducing, without being unduly distracting. So whether you have to write a paper, paint your house or j","Step up to this plate For fans of dub as well as jungle and drum & bass, dubstep is a terrific combination of these genres. And for those new to this type of music, The Roots of Dubstep provides a most fitting introduction as it features cuts by many of the better known musicians making dubstep. Personally, I find this kind of music perfect not only for dancing but also for working behind my computer as it is completely energy inducing, without being unduly distracting. So whether you have to write a paper, paint your house or j"
1,Great travel pack,"This bag is nearly perfect. The straps easily tuck away, which is great when using the pack as carryon luggage for a flight or on a train. The front zips open all the way, so you can access the stuff at the bottom of the pack as easily as the stuff on top. The bag isn't huge, which is its greatest strength and weakness. I just spent two months backpacking in India and the bag still looks new.","Great travel pack This bag is nearly perfect. The straps easily tuck away, which is great when using the pack as carryon luggage for a flight or on a train. The front zips open all the way, so you can access the stuff at the bottom of the pack as easily as the stuff on top. The bag isn't huge, which is its greatest strength and weakness. I just spent two months backpacking in India and the bag still looks new."
1,The Diet Cure,This book was so encouraging. The self test to identify my levels made this read a keeper. I experimented with one amino acid for evening carb cravings and just like promised... there were immediate results. I haven't eaten at night out of hunger or comfort for 6 weeks. The biology is simple and the comparison of refined grains lending to addiction with not only food but alcohol was a game changer for me. I have a plan for a year's investment in a quality multivitamin and a list of supplements that make sen,The Diet Cure This book was so encouraging. The self test to identify my levels made this read a keeper. I experimented with one amino acid for evening carb cravings and just like promised... there were immediate results. I haven't eaten at night out of hunger or comfort for 6 weeks. The biology is simple and the comparison of refined grains lending to addiction with not only food but alcohol was a game changer for me. I have a plan for a year's investment in a quality multivitamin and a list of supplements that make sen
0,Very disappointing,"Sorry to say, this movie was a disappointment. Harrison Ford was not at his best, I expected better. He did not make a convincing cowboy. The Indians seemed to be rather lame in the movie. The characters were not well developed at the beginning of the story. A boring movie, the plot was not well done. The only decent part of the movie were the special effects, especially when some of the actors did their own stunts.","Very disappointing Sorry to say, this movie was a disappointment. Harrison Ford was not at his best, I expected better. He did not make a convincing cowboy. The Indians seemed to be rather lame in the movie. The characters were not well developed at the beginning of the story. A boring movie, the plot was not well done. The only decent part of the movie were the special effects, especially when some of the actors did their own stunts."
0,"As many people in the world I got ""Memory Stick Error"" (C:13:01) on my Sony DSC-W5)","Please be carefull, this is not a lie, lot's of people are having problems whit this memory.""Memory Stick Error"" (C:13:01) on my Sony DSC-W5) rises 1 month after I bought this camera, then suddenly It works again, but I'm expecting to have this problem again. My advice: do not buy it, at least until a new corrected version become available.","As many people in the world I got ""Memory Stick Error"" (C:13:01) on my Sony DSC-W5) Please be carefull, this is not a lie, lot's of people are having problems whit this memory.""Memory Stick Error"" (C:13:01) on my Sony DSC-W5) rises 1 month after I bought this camera, then suddenly It works again, but I'm expecting to have this problem again. My advice: do not buy it, at least until a new corrected version become available."
0,flimsy,Although there is metal in it; it is extremely flimsy and does not hold discs securely. A total waste of money!,flimsy Although there is metal in it; it is extremely flimsy and does not hold discs securely. A total waste of money!
1,This is one of the BEST books I've read.,I have ordered this book for Christmas gifts for at least 15 friends and family members.I'm an avid reader (at least 1-2 books a week) and I usually forget about the books shortly after I've read them. This book is hard to forget. Weeks later I can still recall whole chapters. It has touched my life so much and I want to share it with as many people as possible. I highly recommend this book.One year later - One of the books I gave was to a friend who died unexpectantly. We talked about this book so many tim,This is one of the BEST books I've read. I have ordered this book for Christmas gifts for at least 15 friends and family members.I'm an avid reader (at least 1-2 books a week) and I usually forget about the books shortly after I've read them. This book is hard to forget. Weeks later I can still recall whole chapters. It has touched my life so much and I want to share it with as many people as possible. I highly recommend this book.One year later - One of the books I gave was to a friend who died unexpectantly. We talked about this book so many tim
1,"Ask yourself:""Do i feel lucky""","A great game,even though you need to a lot of patience,but I guess that's what makes it great,couse even though you thought you've been to a place you can't expect the same things when you get back there.This game can really make you jump with fright,especially when you are really concentrating.Those zombies jumping up from nowhere.Wow.Don't play it when your'e alone,you'll scare yourself.Graphics is absolutely great.Blowing those zombies to bits is also really cool.Sounds are very realistic and sometimes r","Ask yourself:""Do i feel lucky"" A great game,even though you need to a lot of patience,but I guess that's what makes it great,couse even though you thought you've been to a place you can't expect the same things when you get back there.This game can really make you jump with fright,especially when you are really concentrating.Those zombies jumping up from nowhere.Wow.Don't play it when your'e alone,you'll scare yourself.Graphics is absolutely great.Blowing those zombies to bits is also really cool.Sounds are very realistic and sometimes r"
